mes,year,puesto,numero
marzo,2019,Puestos de trabajo eventuales urbanos,"2,661,168.00"
febrero,2019,Puestos de trabajo eventuales urbanos,"2,664,060.00"
enero,2019,Puestos de trabajo eventuales urbanos,"2,631,923.00"
diciembre,2018,Puestos de trabajo eventuales urbanos,"2,597,677.00"
noviembre,2018,Puestos de trabajo eventuales urbanos,"2,749,458.00"
octubre,2018,Puestos de trabajo eventuales urbanos,"2,749,745.00"
septiembre,2018,Puestos de trabajo eventuales urbanos,"2,717,867.00"
agosto,2018,Puestos de trabajo eventuales urbanos,"2,707,388.00"
julio,2018,Puestos de trabajo eventuales urbanos,"2,693,923.00"
junio,2018,Puestos de trabajo eventuales urbanos,"2,653,830.00"
mayo,2018,Puestos de trabajo eventuales urbanos,"2,652,183.00"
abril,2018,Puestos de trabajo eventuales urbanos,"2,649,666.00"
marzo,2018,Puestos de trabajo eventuales urbanos,"2,610,239.00"
febrero,2018,Puestos de trabajo eventuales urbanos,"2,605,067.00"
enero,2018,Puestos de trabajo eventuales urbanos,"2,564,242.00"
diciembre,2017,Puestos de trabajo eventuales urbanos,"2,508,688.00"
noviembre,2017,Puestos de trabajo eventuales urbanos,"2,669,395.00"
octubre,2017,Puestos de trabajo eventuales urbanos,"2,648,828.00"
septiembre,2017,Puestos de trabajo eventuales urbanos,"2,589,310.00"
agosto,2017,Puestos de trabajo eventuales urbanos,"2,577,670.00"
julio,2017,Puestos de trabajo eventuales urbanos,"2,548,352.00"
junio,2017,Puestos de trabajo eventuales urbanos,"2,529,378.00"
mayo,2017,Puestos de trabajo eventuales urbanos,"2,510,383.00"
abril,2017,Puestos de trabajo eventuales urbanos,"2,498,903.00"
marzo,2017,Puestos de trabajo eventuales urbanos,"2,495,905.00"
febrero,2017,Puestos de trabajo eventuales urbanos,"2,470,530.00"
enero,2017,Puestos de trabajo eventuales urbanos,"2,423,664.00"
diciembre,2016,Puestos de trabajo eventuales urbanos,"2,373,441.00"
noviembre,2016,Puestos de trabajo eventuales urbanos,"2,531,469.00"
octubre,2016,Puestos de trabajo eventuales urbanos,"2,518,886.00"
septiembre,2016,Puestos de trabajo eventuales urbanos,"2,485,524.00"
agosto,2016,Puestos de trabajo eventuales urbanos,"2,459,913.00"
julio,2016,Puestos de trabajo eventuales urbanos,"2,433,142.00"
junio,2016,Puestos de trabajo eventuales urbanos,"2,425,852.00"
mayo,2016,Puestos de trabajo eventuales urbanos,"2,415,499.00"
abril,2016,Puestos de trabajo eventuales urbanos,"2,411,549.00"
marzo,2016,Puestos de trabajo eventuales urbanos,"2,394,552.00"
febrero,2016,Puestos de trabajo eventuales urbanos,"2,388,119.00"
enero,2016,Puestos de trabajo eventuales urbanos,"2,342,118.00"
diciembre,2015,Puestos de trabajo eventuales urbanos,"2,304,201.00"
noviembre,2015,Puestos de trabajo eventuales urbanos,"2,458,213.00"
octubre,2015,Puestos de trabajo eventuales urbanos,"2,443,280.00"
septiembre,2015,Puestos de trabajo eventuales urbanos,"2,417,222.00"
agosto,2015,Puestos de trabajo eventuales urbanos,"2,401,901.00"
julio,2015,Puestos de trabajo eventuales urbanos,"2,403,218.00"
junio,2015,Puestos de trabajo eventuales urbanos,"2,392,946.00"
mayo,2015,Puestos de trabajo eventuales urbanos,"2,368,960.00"
abril,2015,Puestos de trabajo eventuales urbanos,"2,372,578.00"
marzo,2015,Puestos de trabajo eventuales urbanos,"2,359,551.00"
febrero,2015,Puestos de trabajo eventuales urbanos,"2,336,367.00"
enero,2015,Puestos de trabajo eventuales urbanos,"2,302,998.00"
diciembre,2014,Puestos de trabajo eventuales urbanos,"2,269,378.00"
noviembre,2014,Puestos de trabajo eventuales urbanos,"2,401,576.00"
octubre,2014,Puestos de trabajo eventuales urbanos,"2,376,329.00"
septiembre,2014,Puestos de trabajo eventuales urbanos,"2,337,853.00"
agosto,2014,Puestos de trabajo eventuales urbanos,"2,287,193.00"
julio,2014,Puestos de trabajo eventuales urbanos,"2,266,898.00"
junio,2014,Puestos de trabajo eventuales urbanos,"2,245,666.00"
mayo,2014,Puestos de trabajo eventuales urbanos,"2,223,781.00"
abril,2014,Puestos de trabajo eventuales urbanos,"2,215,244.00"
marzo,2014,Puestos de trabajo eventuales urbanos,"2,202,723.00"
febrero,2014,Puestos de trabajo eventuales urbanos,"2,174,182.00"
enero,2014,Puestos de trabajo eventuales urbanos,"2,132,081.00"
diciembre,2013,Puestos de trabajo eventuales urbanos,"2,105,199.00"
noviembre,2013,Puestos de trabajo eventuales urbanos,"2,231,682.00"
octubre,2013,Puestos de trabajo eventuales urbanos,"2,205,436.00"
septiembre,2013,Puestos de trabajo eventuales urbanos,"2,172,004.00"
agosto,2013,Puestos de trabajo eventuales urbanos,"2,153,928.00"
julio,2013,Puestos de trabajo eventuales urbanos,"2,142,820.00"
junio,2013,Puestos de trabajo eventuales urbanos,"2,133,083.00"
mayo,2013,Puestos de trabajo eventuales urbanos,"2,131,969.00"
abril,2013,Puestos de trabajo eventuales urbanos,"2,134,669.00"
marzo,2013,Puestos de trabajo eventuales urbanos,"2,114,357.00"
febrero,2013,Puestos de trabajo eventuales urbanos,"2,109,346.00"
enero,2013,Puestos de trabajo eventuales urbanos,"2,078,409.00"
diciembre,2012,Puestos de trabajo eventuales urbanos,"2,054,233.00"
noviembre,2012,Puestos de trabajo eventuales urbanos,"2,185,415.00"
octubre,2012,Puestos de trabajo eventuales urbanos,"2,172,732.00"
septiembre,2012,Puestos de trabajo eventuales urbanos,"2,136,836.00"
agosto,2012,Puestos de trabajo eventuales urbanos,"2,117,213.00"
julio,2012,Puestos de trabajo eventuales urbanos,"2,102,666.00"
junio,2012,Puestos de trabajo eventuales urbanos,"2,084,389.00"
mayo,2012,Puestos de trabajo eventuales urbanos,"2,067,167.00"
abril,2012,Puestos de trabajo eventuales urbanos,"2,053,914.00"
marzo,2012,Puestos de trabajo eventuales urbanos,"2,039,667.00"
febrero,2012,Puestos de trabajo eventuales urbanos,"2,001,570.00"
enero,2012,Puestos de trabajo eventuales urbanos,"1,966,577.00"
diciembre,2011,Puestos de trabajo eventuales urbanos,"1,935,696.00"
noviembre,2011,Puestos de trabajo eventuales urbanos,"2,051,416.00"
octubre,2011,Puestos de trabajo eventuales urbanos,"2,029,128.00"
septiembre,2011,Puestos de trabajo eventuales urbanos,"1,989,778.00"
agosto,2011,Puestos de trabajo eventuales urbanos,"1,961,874.00"
julio,2011,Puestos de trabajo eventuales urbanos,"1,938,510.00"
junio,2011,Puestos de trabajo eventuales urbanos,"1,912,366.00"
mayo,2011,Puestos de trabajo eventuales urbanos,"1,899,337.00"
abril,2011,Puestos de trabajo eventuales urbanos,"1,882,405.00"
marzo,2011,Puestos de trabajo eventuales urbanos,"1,869,788.00"
febrero,2011,Puestos de trabajo eventuales urbanos,"1,843,256.00"
enero,2011,Puestos de trabajo eventuales urbanos,"1,811,337.00"
diciembre,2010,Puestos de trabajo eventuales urbanos,"1,785,726.00"
noviembre,2010,Puestos de trabajo eventuales urbanos,"1,910,121.00"
octubre,2010,Puestos de trabajo eventuales urbanos,"1,870,457.00"
septiembre,2010,Puestos de trabajo eventuales urbanos,"1,828,050.00"
agosto,2010,Puestos de trabajo eventuales urbanos,"1,809,507.00"
julio,2010,Puestos de trabajo eventuales urbanos,"1,782,710.00"
junio,2010,Puestos de trabajo eventuales urbanos,"1,764,425.00"
mayo,2010,Puestos de trabajo eventuales urbanos,"1,744,924.00"
abril,2010,Puestos de trabajo eventuales urbanos,"1,729,917.00"
marzo,2010,Puestos de trabajo eventuales urbanos,"1,696,545.00"
febrero,2010,Puestos de trabajo eventuales urbanos,"1,650,889.00"
enero,2010,Puestos de trabajo eventuales urbanos,"1,607,343.00"
diciembre,2009,Puestos de trabajo eventuales urbanos,"1,567,486.00"
noviembre,2009,Puestos de trabajo eventuales urbanos,"1,678,956.00"
octubre,2009,Puestos de trabajo eventuales urbanos,"1,642,451.00"
septiembre,2009,Puestos de trabajo eventuales urbanos,"1,597,419.00"
agosto,2009,Puestos de trabajo eventuales urbanos,"1,585,268.00"
julio,2009,Puestos de trabajo eventuales urbanos,"1,562,537.00"
junio,2009,Puestos de trabajo eventuales urbanos,"1,541,947.00"
mayo,2009,Puestos de trabajo eventuales urbanos,"1,520,637.00"
abril,2009,Puestos de trabajo eventuales urbanos,"1,544,078.00"
marzo,2009,Puestos de trabajo eventuales urbanos,"1,537,634.00"
febrero,2009,Puestos de trabajo eventuales urbanos,"1,514,002.00"
enero,2009,Puestos de trabajo eventuales urbanos,"1,509,175.00"
diciembre,2008,Puestos de trabajo eventuales urbanos,"1,493,484.00"
noviembre,2008,Puestos de trabajo eventuales urbanos,"1,639,208.00"
octubre,2008,Puestos de trabajo eventuales urbanos,"1,651,134.00"
septiembre,2008,Puestos de trabajo eventuales urbanos,"1,624,455.00"
agosto,2008,Puestos de trabajo eventuales urbanos,"1,605,340.00"
julio,2008,Puestos de trabajo eventuales urbanos,"1,584,467.00"
junio,2008,Puestos de trabajo eventuales urbanos,"1,574,747.00"
mayo,2008,Puestos de trabajo eventuales urbanos,"1,555,878.00"
abril,2008,Puestos de trabajo eventuales urbanos,"1,571,210.00"
marzo,2008,Puestos de trabajo eventuales urbanos,"1,530,290.00"
febrero,2008,Puestos de trabajo eventuales urbanos,"1,559,501.00"
enero,2008,Puestos de trabajo eventuales urbanos,"1,520,269.00"
diciembre,2007,Puestos de trabajo eventuales urbanos,"1,471,695.00"
noviembre,2007,Puestos de trabajo eventuales urbanos,"1,629,673.00"
octubre,2007,Puestos de trabajo eventuales urbanos,"1,637,867.00"
septiembre,2007,Puestos de trabajo eventuales urbanos,"1,574,735.00"
agosto,2007,Puestos de trabajo eventuales urbanos,"1,582,809.00"
julio,2007,Puestos de trabajo eventuales urbanos,"1,546,300.00"
junio,2007,Puestos de trabajo eventuales urbanos,"1,543,939.00"
mayo,2007,Puestos de trabajo eventuales urbanos,"1,511,105.00"
abril,2007,Puestos de trabajo eventuales urbanos,"1,515,501.00"
marzo,2007,Puestos de trabajo eventuales urbanos,"1,489,501.00"
febrero,2007,Puestos de trabajo eventuales urbanos,"1,486,765.00"
enero,2007,Puestos de trabajo eventuales urbanos,"1,441,227.00"
diciembre,2006,Puestos de trabajo eventuales urbanos,"1,411,737.00"
noviembre,2006,Puestos de trabajo eventuales urbanos,"1,549,515.00"
octubre,2006,Puestos de trabajo eventuales urbanos,"1,557,159.00"
septiembre,2006,Puestos de trabajo eventuales urbanos,"1,509,423.00"
agosto,2006,Puestos de trabajo eventuales urbanos,"1,508,058.00"
julio,2006,Puestos de trabajo eventuales urbanos,"1,471,812.00"
junio,2006,Puestos de trabajo eventuales urbanos,"1,465,762.00"
mayo,2006,Puestos de trabajo eventuales urbanos,"1,423,301.00"
abril,2006,Puestos de trabajo eventuales urbanos,"1,400,334.00"
marzo,2006,Puestos de trabajo eventuales urbanos,"1,388,678.00"
febrero,2006,Puestos de trabajo eventuales urbanos,"1,368,941.00"
enero,2006,Puestos de trabajo eventuales urbanos,"1,322,292.00"
diciembre,2005,Puestos de trabajo eventuales urbanos,"1,286,702.00"
noviembre,2005,Puestos de trabajo eventuales urbanos,"1,405,596.00"
octubre,2005,Puestos de trabajo eventuales urbanos,"1,401,872.00"
septiembre,2005,Puestos de trabajo eventuales urbanos,"1,352,688.00"
agosto,2005,Puestos de trabajo eventuales urbanos,"1,338,763.00"
julio,2005,Puestos de trabajo eventuales urbanos,"1,287,029.00"
junio,2005,Puestos de trabajo eventuales urbanos,"1,299,660.00"
mayo,2005,Puestos de trabajo eventuales urbanos,"1,269,391.00"
abril,2005,Puestos de trabajo eventuales urbanos,"1,275,470.00"
marzo,2005,Puestos de trabajo eventuales urbanos,"1,236,432.00"
febrero,2005,Puestos de trabajo eventuales urbanos,"1,257,627.00"
enero,2005,Puestos de trabajo eventuales urbanos,"1,213,919.00"
diciembre,2004,Puestos de trabajo eventuales urbanos,"1,195,894.00"
noviembre,2004,Puestos de trabajo eventuales urbanos,"1,299,779.00"
octubre,2004,Puestos de trabajo eventuales urbanos,"1,293,992.00"
septiembre,2004,Puestos de trabajo eventuales urbanos,"1,270,930.00"
agosto,2004,Puestos de trabajo eventuales urbanos,"1,255,134.00"
julio,2004,Puestos de trabajo eventuales urbanos,"1,232,169.00"
junio,2004,Puestos de trabajo eventuales urbanos,"1,233,578.00"
mayo,2004,Puestos de trabajo eventuales urbanos,"1,203,584.00"
abril,2004,Puestos de trabajo eventuales urbanos,"1,225,851.00"
marzo,2004,Puestos de trabajo eventuales urbanos,"1,203,709.00"
febrero,2004,Puestos de trabajo eventuales urbanos,"1,175,976.00"
enero,2004,Puestos de trabajo eventuales urbanos,"1,145,573.00"
diciembre,2003,Puestos de trabajo eventuales urbanos,"1,123,758.00"
noviembre,2003,Puestos de trabajo eventuales urbanos,"1,214,023.00"
octubre,2003,Puestos de trabajo eventuales urbanos,"1,242,208.00"
septiembre,2003,Puestos de trabajo eventuales urbanos,"1,192,961.00"
agosto,2003,Puestos de trabajo eventuales urbanos,"1,183,304.00"
julio,2003,Puestos de trabajo eventuales urbanos,"1,183,625.00"
junio,2003,Puestos de trabajo eventuales urbanos,"1,177,542.00"
mayo,2003,Puestos de trabajo eventuales urbanos,"1,144,770.00"
abril,2003,Puestos de trabajo eventuales urbanos,"1,165,857.00"
marzo,2003,Puestos de trabajo eventuales urbanos,"1,145,312.00"
febrero,2003,Puestos de trabajo eventuales urbanos,"1,151,218.00"
enero,2003,Puestos de trabajo eventuales urbanos,"1,118,460.00"
diciembre,2002,Puestos de trabajo eventuales urbanos,"1,100,740.00"
noviembre,2002,Puestos de trabajo eventuales urbanos,"1,198,338.00"
octubre,2002,Puestos de trabajo eventuales urbanos,"1,211,729.00"
septiembre,2002,Puestos de trabajo eventuales urbanos,"1,179,266.00"
agosto,2002,Puestos de trabajo eventuales urbanos,"1,191,965.00"
julio,2002,Puestos de trabajo eventuales urbanos,"1,183,897.00"
junio,2002,Puestos de trabajo eventuales urbanos,"1,152,183.00"
mayo,2002,Puestos de trabajo eventuales urbanos,"1,151,209.00"
abril,2002,Puestos de trabajo eventuales urbanos,"1,153,858.00"
marzo,2002,Puestos de trabajo eventuales urbanos,"1,085,997.00"
febrero,2002,Puestos de trabajo eventuales urbanos,"1,128,090.00"
enero,2002,Puestos de trabajo eventuales urbanos,"1,088,487.00"
diciembre,2001,Puestos de trabajo eventuales urbanos,"1,060,581.00"
noviembre,2001,Puestos de trabajo eventuales urbanos,"1,190,031.00"
octubre,2001,Puestos de trabajo eventuales urbanos,"1,192,671.00"
septiembre,2001,Puestos de trabajo eventuales urbanos,"1,167,527.00"
agosto,2001,Puestos de trabajo eventuales urbanos,"1,184,817.00"
julio,2001,Puestos de trabajo eventuales urbanos,"1,174,666.00"
junio,2001,Puestos de trabajo eventuales urbanos,"1,152,451.00"
mayo,2001,Puestos de trabajo eventuales urbanos,"1,151,792.00"
abril,2001,Puestos de trabajo eventuales urbanos,"1,138,588.00"
marzo,2001,Puestos de trabajo eventuales urbanos,"1,148,375.00"
febrero,2001,Puestos de trabajo eventuales urbanos,"1,155,529.00"
enero,2001,Puestos de trabajo eventuales urbanos,"1,171,143.00"
diciembre,2000,Puestos de trabajo eventuales urbanos,"1,139,376.00"
noviembre,2000,Puestos de trabajo eventuales urbanos,"1,276,909.00"
octubre,2000,Puestos de trabajo eventuales urbanos,"1,284,010.00"
septiembre,2000,Puestos de trabajo eventuales urbanos,"1,270,643.00"
agosto,2000,Puestos de trabajo eventuales urbanos,"1,283,613.00"
julio,2000,Puestos de trabajo eventuales urbanos,"1,323,210.00"
junio,2000,Puestos de trabajo eventuales urbanos,"1,284,210.00"
mayo,2000,Puestos de trabajo eventuales urbanos,"1,259,993.00"
abril,2000,Puestos de trabajo eventuales urbanos,"1,221,442.00"
marzo,2000,Puestos de trabajo eventuales urbanos,"1,230,773.00"
febrero,2000,Puestos de trabajo eventuales urbanos,"1,205,433.00"
enero,2000,Puestos de trabajo eventuales urbanos,"1,174,893.00"
diciembre,1999,Puestos de trabajo eventuales urbanos,"1,137,965.00"
noviembre,1999,Puestos de trabajo eventuales urbanos,"1,249,164.00"
octubre,1999,Puestos de trabajo eventuales urbanos,"1,216,183.00"
septiembre,1999,Puestos de trabajo eventuales urbanos,"1,210,991.00"
agosto,1999,Puestos de trabajo eventuales urbanos,"1,190,517.00"
julio,1999,Puestos de trabajo eventuales urbanos,"1,165,760.00"
junio,1999,Puestos de trabajo eventuales urbanos,"1,132,809.00"
mayo,1999,Puestos de trabajo eventuales urbanos,"1,109,240.00"
abril,1999,Puestos de trabajo eventuales urbanos,"1,108,438.00"
marzo,1999,Puestos de trabajo eventuales urbanos,"1,082,953.00"
febrero,1999,Puestos de trabajo eventuales urbanos,"1,057,776.00"
enero,1999,Puestos de trabajo eventuales urbanos,"1,024,035.00"
diciembre,1998,Puestos de trabajo eventuales urbanos,"1,004,663.00"
noviembre,1998,Puestos de trabajo eventuales urbanos,"1,097,481.00"
octubre,1998,Puestos de trabajo eventuales urbanos,"1,111,280.00"
septiembre,1998,Puestos de trabajo eventuales urbanos,"1,088,452.00"
agosto,1998,Puestos de trabajo eventuales urbanos,"1,067,210.00"
julio,1998,Puestos de trabajo eventuales urbanos,"1,039,556.00"
junio,1998,Puestos de trabajo eventuales urbanos,"990,415.00"
mayo,1998,Puestos de trabajo eventuales urbanos,"958,119.00"
abril,1998,Puestos de trabajo eventuales urbanos,"956,599.00"
marzo,1998,Puestos de trabajo eventuales urbanos,"930,113.00"
febrero,1998,Puestos de trabajo eventuales urbanos,"883,967.00"
enero,1998,Puestos de trabajo eventuales urbanos,"842,923.00"
diciembre,1997,Puestos de trabajo eventuales urbanos,"769,304.00"
noviembre,1997,Puestos de trabajo eventuales urbanos,"788,098.00"
octubre,1997,Puestos de trabajo eventuales urbanos,"738,103.00"
septiembre,1997,Puestos de trabajo eventuales urbanos,"640,102.00"
agosto,1997,Puestos de trabajo eventuales urbanos,"536,341.00"
julio,1997,Puestos de trabajo eventuales urbanos,"426,090.00"
septiembre,2022,Puestos de trabajo eventuales del campo,"237,732.00"
agosto,2022,Puestos de trabajo eventuales del campo,"217,965.00"
julio,2022,Puestos de trabajo eventuales del campo,"209,479.00"
junio,2022,Puestos de trabajo eventuales del campo,"224,520.00"
mayo,2022,Puestos de trabajo eventuales del campo,"250,921.00"
abril,2022,Puestos de trabajo eventuales del campo,"289,652.00"
marzo,2022,Puestos de trabajo eventuales del campo,"310,387.00"
febrero,2022,Puestos de trabajo eventuales del campo,"322,530.00"
enero,2022,Puestos de trabajo eventuales del campo,"311,931.00"
diciembre,2021,Puestos de trabajo eventuales del campo,"272,317.00"
noviembre,2021,Puestos de trabajo eventuales del campo,"261,742.00"
octubre,2021,Puestos de trabajo eventuales del campo,"244,566.00"
septiembre,2021,Puestos de trabajo eventuales del campo,"235,853.00"
agosto,2021,Puestos de trabajo eventuales del campo,"213,239.00"
julio,2021,Puestos de trabajo eventuales del campo,"213,282.00"
junio,2021,Puestos de trabajo eventuales del campo,"217,058.00"
mayo,2021,Puestos de trabajo eventuales del campo,"238,323.00"
abril,2021,Puestos de trabajo eventuales del campo,"277,260.00"
marzo,2021,Puestos de trabajo eventuales del campo,"296,408.00"
febrero,2021,Puestos de trabajo eventuales del campo,"291,953.00"
enero,2021,Puestos de trabajo eventuales del campo,"283,725.00"
diciembre,2020,Puestos de trabajo eventuales del campo,"259,967.00"
noviembre,2020,Puestos de trabajo eventuales del campo,"238,757.00"
octubre,2020,Puestos de trabajo eventuales del campo,"229,474.00"
septiembre,2020,Puestos de trabajo eventuales del campo,"212,959.00"
agosto,2020,Puestos de trabajo eventuales del campo,"199,642.00"
julio,2020,Puestos de trabajo eventuales del campo,"198,145.00"
junio,2020,Puestos de trabajo eventuales del campo,"212,525.00"
mayo,2020,Puestos de trabajo eventuales del campo,"244,914.00"
abril,2020,Puestos de trabajo eventuales del campo,"287,057.00"
marzo,2020,Puestos de trabajo eventuales del campo,"303,699.00"
febrero,2020,Puestos de trabajo eventuales del campo,"302,106.00"
enero,2020,Puestos de trabajo eventuales del campo,"284,923.00"
diciembre,2019,Puestos de trabajo eventuales del campo,"252,561.00"
noviembre,2019,Puestos de trabajo eventuales del campo,"229,478.00"
octubre,2019,Puestos de trabajo eventuales del campo,"222,479.00"
septiembre,2019,Puestos de trabajo eventuales del campo,"210,149.00"
agosto,2019,Puestos de trabajo eventuales del campo,"188,983.00"
julio,2019,Puestos de trabajo eventuales del campo,"182,629.00"
junio,2019,Puestos de trabajo eventuales del campo,"194,889.00"
mayo,2019,Puestos de trabajo eventuales del campo,"228,097.00"
abril,2019,Puestos de trabajo eventuales del campo,"274,504.00"
marzo,2019,Puestos de trabajo eventuales del campo,"287,760.00"
febrero,2019,Puestos de trabajo eventuales del campo,"281,290.00"
enero,2019,Puestos de trabajo eventuales del campo,"275,646.00"
diciembre,2018,Puestos de trabajo eventuales del campo,"251,946.00"
noviembre,2018,Puestos de trabajo eventuales del campo,"228,338.00"
octubre,2018,Puestos de trabajo eventuales del campo,"197,676.00"
septiembre,2018,Puestos de trabajo eventuales del campo,"193,901.00"
agosto,2018,Puestos de trabajo eventuales del campo,"173,844.00"
julio,2018,Puestos de trabajo eventuales del campo,"169,628.00"
junio,2018,Puestos de trabajo eventuales del campo,"174,632.00"
mayo,2018,Puestos de trabajo eventuales del campo,"225,219.00"
abril,2018,Puestos de trabajo eventuales del campo,"245,726.00"
marzo,2018,Puestos de trabajo eventuales del campo,"279,518.00"
febrero,2018,Puestos de trabajo eventuales del campo,"255,043.00"
enero,2018,Puestos de trabajo eventuales del campo,"254,213.00"
diciembre,2017,Puestos de trabajo eventuales del campo,"234,264.00"
noviembre,2017,Puestos de trabajo eventuales del campo,"214,253.00"
octubre,2017,Puestos de trabajo eventuales del campo,"188,946.00"
septiembre,2017,Puestos de trabajo eventuales del campo,"174,640.00"
agosto,2017,Puestos de trabajo eventuales del campo,"153,471.00"
julio,2017,Puestos de trabajo eventuales del campo,"149,007.00"
junio,2017,Puestos de trabajo eventuales del campo,"156,250.00"
mayo,2017,Puestos de trabajo eventuales del campo,"187,830.00"
abril,2017,Puestos de trabajo eventuales del campo,"236,956.00"
marzo,2017,Puestos de trabajo eventuales del campo,"243,403.00"
febrero,2017,Puestos de trabajo eventuales del campo,"241,522.00"
enero,2017,Puestos de trabajo eventuales del campo,"229,455.00"
diciembre,2016,Puestos de trabajo eventuales del campo,"212,236.00"
noviembre,2016,Puestos de trabajo eventuales del campo,"198,705.00"
octubre,2016,Puestos de trabajo eventuales del campo,"169,753.00"
septiembre,2016,Puestos de trabajo eventuales del campo,"154,958.00"
agosto,2016,Puestos de trabajo eventuales del campo,"145,465.00"
julio,2016,Puestos de trabajo eventuales del campo,"132,167.00"
junio,2016,Puestos de trabajo eventuales del campo,"139,266.00"
mayo,2016,Puestos de trabajo eventuales del campo,"176,014.00"
abril,2016,Puestos de trabajo eventuales del campo,"214,652.00"
marzo,2016,Puestos de trabajo eventuales del campo,"227,324.00"
febrero,2016,Puestos de trabajo eventuales del campo,"215,634.00"
enero,2016,Puestos de trabajo eventuales del campo,"220,483.00"
diciembre,2015,Puestos de trabajo eventuales del campo,"198,646.00"
noviembre,2015,Puestos de trabajo eventuales del campo,"181,863.00"
octubre,2015,Puestos de trabajo eventuales del campo,"151,468.00"
septiembre,2015,Puestos de trabajo eventuales del campo,"147,711.00"
agosto,2015,Puestos de trabajo eventuales del campo,"139,925.00"
julio,2015,Puestos de trabajo eventuales del campo,"128,236.00"
junio,2015,Puestos de trabajo eventuales del campo,"134,896.00"
mayo,2015,Puestos de trabajo eventuales del campo,"164,487.00"
abril,2015,Puestos de trabajo eventuales del campo,"206,292.00"
marzo,2015,Puestos de trabajo eventuales del campo,"210,117.00"
febrero,2015,Puestos de trabajo eventuales del campo,"211,741.00"
enero,2015,Puestos de trabajo eventuales del campo,"202,019.00"
diciembre,2014,Puestos de trabajo eventuales del campo,"187,560.00"
noviembre,2014,Puestos de trabajo eventuales del campo,"162,897.00"
octubre,2014,Puestos de trabajo eventuales del campo,"144,417.00"
septiembre,2014,Puestos de trabajo eventuales del campo,"134,714.00"
agosto,2014,Puestos de trabajo eventuales del campo,"116,894.00"
julio,2014,Puestos de trabajo eventuales del campo,"112,827.00"
junio,2014,Puestos de trabajo eventuales del campo,"124,083.00"
mayo,2014,Puestos de trabajo eventuales del campo,"157,140.00"
abril,2014,Puestos de trabajo eventuales del campo,"184,866.00"
marzo,2014,Puestos de trabajo eventuales del campo,"204,189.00"
febrero,2014,Puestos de trabajo eventuales del campo,"195,440.00"
enero,2014,Puestos de trabajo eventuales del campo,"187,261.00"
diciembre,2013,Puestos de trabajo eventuales del campo,"169,510.00"
noviembre,2013,Puestos de trabajo eventuales del campo,"144,978.00"
octubre,2013,Puestos de trabajo eventuales del campo,"122,234.00"
