month,year,Descripcion Division,Desc Tam Empresa,Rango de edad,Desc Sexo,Salario
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",1,15-19 años,Hombre,27.02
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,75 o más años,Mujer,26.89
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,70-74 años,Mujer,35.86
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,65-69 años,Mujer,27.94
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,60-64 años,Mujer,26.68
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,55-59 años,Mujer,33.14
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,50-54 años,Mujer,33.66
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,45-49 años,Mujer,32
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,40-44 años,Mujer,34.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,35-39 años,Mujer,37.41
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,30-34 años,Mujer,36.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,25-29 años,Mujer,37.93
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,20-24 años,Mujer,33.46
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,15-19 años,Mujer,27.18
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,Menores de 15 años,Hombre,85
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,75 o más años,Hombre,29.03
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,70-74 años,Hombre,27.27
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,65-69 años,Hombre,29.92
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,60-64 años,Hombre,29.82
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,55-59 años,Hombre,30.39
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,50-54 años,Hombre,30.93
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,45-49 años,Hombre,31.87
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,40-44 años,Hombre,31.21
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,35-39 años,Hombre,31.99
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,30-34 años,Hombre,32.01
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,25-29 años,Hombre,30.41
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,20-24 años,Hombre,28.87
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 2 y 5,15-19 años,Hombre,27.9
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,Menores de 15 años,Mujer,26.9
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,75 o más años,Mujer,65.18
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,70-74 años,Mujer,40.9
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,65-69 años,Mujer,32.33
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,60-64 años,Mujer,41.61
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,55-59 años,Mujer,43.84
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,50-54 años,Mujer,42.82
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,45-49 años,Mujer,45.82
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,40-44 años,Mujer,49.57
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,35-39 años,Mujer,54.48
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,30-34 años,Mujer,55.36
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,25-29 años,Mujer,54.35
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,20-24 años,Mujer,39.7
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,15-19 años,Mujer,33.09
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,Menores de 15 años,Hombre,29.44
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,75 o más años,Hombre,33.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,70-74 años,Hombre,38.46
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,65-69 años,Hombre,41.79
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,60-64 años,Hombre,41.42
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,55-59 años,Hombre,43.46
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,50-54 años,Hombre,46.04
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,45-49 años,Hombre,48.77
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,40-44 años,Hombre,49.85
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,35-39 años,Hombre,51.61
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,30-34 años,Hombre,51.51
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,25-29 años,Hombre,44.01
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,20-24 años,Hombre,36.36
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 6 y 50,15-19 años,Hombre,32.12
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,Menores de 15 años,Mujer,29.71
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,75 o más años,Mujer,25
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,70-74 años,Mujer,34.1
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,65-69 años,Mujer,46.88
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,60-64 años,Mujer,46.69
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,55-59 años,Mujer,64.25
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,50-54 años,Mujer,47.6
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,45-49 años,Mujer,51.76
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,40-44 años,Mujer,60.21
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,35-39 años,Mujer,60.05
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,30-34 años,Mujer,65.4
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,25-29 años,Mujer,63.91
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,20-24 años,Mujer,44.1
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,15-19 años,Mujer,33.58
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,Menores de 15 años,Hombre,32.16
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,75 o más años,Hombre,40.3
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,70-74 años,Hombre,52.88
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,65-69 años,Hombre,52.47
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,60-64 años,Hombre,60.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,55-59 años,Hombre,56.83
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,50-54 años,Hombre,56.97
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,45-49 años,Hombre,61.76
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,40-44 años,Hombre,65.12
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,35-39 años,Hombre,72.41
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,30-34 años,Hombre,67.64
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,25-29 años,Hombre,55.19
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,20-24 años,Hombre,43.2
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 51 y 250,15-19 años,Hombre,36.34
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,Menores de 15 años,Mujer,33.7
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,75 o más años,Mujer,18
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,70-74 años,Mujer,100
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,65-69 años,Mujer,162
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,60-64 años,Mujer,71.23
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,55-59 años,Mujer,60.63
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,50-54 años,Mujer,53.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,45-49 años,Mujer,57.75
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,40-44 años,Mujer,53.09
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,35-39 años,Mujer,61.28
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,30-34 años,Mujer,57.84
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,25-29 años,Mujer,56.57
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,20-24 años,Mujer,39.9
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,15-19 años,Mujer,33.67
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,Menores de 15 años,Hombre,29.11
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,75 o más años,Hombre,46.43
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,70-74 años,Hombre,38.04
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,65-69 años,Hombre,50.74
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,60-64 años,Hombre,59.13
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,55-59 años,Hombre,61.12
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,50-54 años,Hombre,68.62
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,45-49 años,Hombre,74.18
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,40-44 años,Hombre,78.42
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,35-39 años,Hombre,78.94
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,30-34 años,Hombre,76.37
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,25-29 años,Hombre,61.55
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,20-24 años,Hombre,43.65
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",entre 251 y 500,15-19 años,Hombre,35.51
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",Menores de 15 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",75 o más años,Mujer,31
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",70-74 años,Mujer,37
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",65-69 años,Mujer,31
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",60-64 años,Mujer,39.8
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",55-59 años,Mujer,42.83
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",50-54 años,Mujer,86.1
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",45-49 años,Mujer,40.57
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",40-44 años,Mujer,39.55
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",35-39 años,Mujer,55.54
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",30-34 años,Mujer,48.1
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",25-29 años,Mujer,50.86
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",20-24 años,Mujer,37.43
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",15-19 años,Mujer,31.11
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",Menores de 15 años,Hombre,64
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",75 o más años,Hombre,38.67
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",70-74 años,Hombre,41.18
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",65-69 años,Hombre,73.55
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",60-64 años,Hombre,65.73
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",55-59 años,Hombre,55.53
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",50-54 años,Hombre,63.92
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",45-49 años,Hombre,65.59
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",40-44 años,Hombre,68.61
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",35-39 años,Hombre,65.81
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",30-34 años,Hombre,62.14
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",25-29 años,Hombre,53.17
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",20-24 años,Hombre,43.4
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","entre 501 y 1,000",15-19 años,Hombre,33.83
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",Menores de 15 años,Mujer,23.54
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",75 o más años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",70-74 años,Mujer,29
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",65-69 años,Mujer,42.5
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",60-64 años,Mujer,65.5
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",55-59 años,Mujer,85
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",50-54 años,Mujer,140
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",45-49 años,Mujer,123.62
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",40-44 años,Mujer,78.37
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",35-39 años,Mujer,77.91
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",30-34 años,Mujer,83.86
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",25-29 años,Mujer,79.74
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",20-24 años,Mujer,46.99
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",15-19 años,Mujer,33.33
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",Menores de 15 años,Hombre,26.75
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",75 o más años,Hombre,29
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",70-74 años,Hombre,69.2
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",65-69 años,Hombre,50
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",60-64 años,Hombre,75.39
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",55-59 años,Hombre,101.97
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",50-54 años,Hombre,90.73
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",45-49 años,Hombre,91.07
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",40-44 años,Hombre,95.24
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",35-39 años,Hombre,89.76
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",30-34 años,Hombre,84.95
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",25-29 años,Hombre,61.23
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",20-24 años,Hombre,46.73
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza","más de 1,000",15-19 años,Hombre,35.07
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,Menores de 15 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,75 o más años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,70-74 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,65-69 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,60-64 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,55-59 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,50-54 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,45-49 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,40-44 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,35-39 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,30-34 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,25-29 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,20-24 años,Mujer,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,75 o más años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,70-74 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,65-69 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,60-64 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,55-59 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,50-54 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,45-49 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,40-44 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,35-39 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,30-34 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,25-29 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,20-24 años,Hombre,
julio,1997,"Agricultura, Ganadería, Silvicultura, Pesca y Caza",No aplica,15-19 años,Hombre,
julio,1997,Comercio,1,Menores de 15 años,Mujer,31
julio,1997,Comercio,1,75 o más años,Mujer,25.21
julio,1997,Comercio,1,70-74 años,Mujer,28.33
julio,1997,Comercio,1,65-69 años,Mujer,31.05
julio,1997,Comercio,1,60-64 años,Mujer,36.03
julio,1997,Comercio,1,55-59 años,Mujer,30.06
julio,1997,Comercio,1,50-54 años,Mujer,29.61
julio,1997,Comercio,1,45-49 años,Mujer,29.72
julio,1997,Comercio,1,40-44 años,Mujer,29.24
julio,1997,Comercio,1,35-39 años,Mujer,30.04
julio,1997,Comercio,1,30-34 años,Mujer,29.78
julio,1997,Comercio,1,25-29 años,Mujer,29.4
julio,1997,Comercio,1,20-24 años,Mujer,27.34
julio,1997,Comercio,1,15-19 años,Mujer,25.98
julio,1997,Comercio,1,Menores de 15 años,Hombre,27.17
julio,1997,Comercio,1,75 o más años,Hombre,27.75
julio,1997,Comercio,1,70-74 años,Hombre,36.85
julio,1997,Comercio,1,65-69 años,Hombre,40.99
julio,1997,Comercio,1,60-64 años,Hombre,34.51
julio,1997,Comercio,1,55-59 años,Hombre,33.79
julio,1997,Comercio,1,50-54 años,Hombre,33.73
julio,1997,Comercio,1,45-49 años,Hombre,32.98
julio,1997,Comercio,1,40-44 años,Hombre,30.78
julio,1997,Comercio,1,35-39 años,Hombre,33.15
julio,1997,Comercio,1,30-34 años,Hombre,31.11
julio,1997,Comercio,1,25-29 años,Hombre,30.1
julio,1997,Comercio,1,20-24 años,Hombre,28.34
julio,1997,Comercio,1,15-19 años,Hombre,26.87
julio,1997,Comercio,entre 2 y 5,Menores de 15 años,Mujer,25.47
julio,1997,Comercio,entre 2 y 5,75 o más años,Mujer,45.77
julio,1997,Comercio,entre 2 y 5,70-74 años,Mujer,39.29
julio,1997,Comercio,entre 2 y 5,65-69 años,Mujer,38.11
julio,1997,Comercio,entre 2 y 5,60-64 años,Mujer,44.38
julio,1997,Comercio,entre 2 y 5,55-59 años,Mujer,41.29
julio,1997,Comercio,entre 2 y 5,50-54 años,Mujer,40.14
julio,1997,Comercio,entre 2 y 5,45-49 años,Mujer,43.64
julio,1997,Comercio,entre 2 y 5,40-44 años,Mujer,40.8
julio,1997,Comercio,entre 2 y 5,35-39 años,Mujer,40.08
julio,1997,Comercio,entre 2 y 5,30-34 años,Mujer,39.84
julio,1997,Comercio,entre 2 y 5,25-29 años,Mujer,37.44
julio,1997,Comercio,entre 2 y 5,20-24 años,Mujer,31.95
julio,1997,Comercio,entre 2 y 5,15-19 años,Mujer,28.36
julio,1997,Comercio,entre 2 y 5,Menores de 15 años,Hombre,27.86
