var,categoria,year,hrs
Position,Subordinate and paid workers,2021,38.36725454
Position, Employers,2021,42.31077822
Position, Free-lancers,2021,30.79937178
Position, unpaid workers,2021,31.22596611
Position,Subordinate and paid workers,2022,38.66070647
Position, Employers,2022,42.14900046
Position, Free-lancers,2022,31.39077992
Position, unpaid workers,2022,31.77297159
Sector,Agriculture,2015,30.98218718
Sector, Extractive and electricity industry,2015,40.53389044
Sector, Manufacturing industry,2015,38.84883266
Sector,Construction,2015,42.17071019
Sector,Commerce,2015,39.48268613
Sector, Restaurants and accommodation services,2015,37.74395967
Sector,"Transportes, comunicaciones, correo y almacenamiento",2015,42.28324698
Sector," Bachelors, financial and corporate services",2015,40.20209269
Sector, Social services,2015,31.49503916
Sector, various services,2015,31.37932041
Sector, Government,2015,37.28551219
Sector,Agriculture,2016,31.21211213
Sector, Extractive and electricity industry,2016,40.09760956
Sector, Manufacturing industry,2016,39.23257354
Sector,Construction,2016,42.70035149
Sector,Commerce,2016,39.51383918
Sector, Restaurants and accommodation services,2016,37.81587441
Sector,"Transportes, comunicaciones, correo y almacenamiento",2016,43.04893468
Sector," Bachelors, financial and corporate services",2016,40.19395866
Sector, Social services,2016,31.66176879
Sector, various services,2016,31.31612984
Sector, Government,2016,37.73880051
Sector,Agriculture,2017,31.2704412
Sector, Extractive and electricity industry,2017,41.79283315
Sector, Manufacturing industry,2017,39.47670456
Sector,Construction,2017,42.11038961
Sector,Commerce,2017,39.60176236
Sector, Restaurants and accommodation services,2017,37.92240135
Sector,"Transportes, comunicaciones, correo y almacenamiento",2017,43.06239852
Sector," Bachelors, financial and corporate services",2017,40.14256066
Sector, Social services,2017,31.6704936
Sector, various services,2017,31.32753652
Sector, Government,2017,37.76575762
Sector,Agriculture,2018,32.21268948
Sector, Extractive and electricity industry,2018,40.01388889
Sector, Manufacturing industry,2018,39.29459826
Sector,Construction,2018,42.05709557
Sector,Commerce,2018,39.79694366
Sector, Restaurants and accommodation services,2018,37.88979777
Sector,"Transportes, comunicaciones, correo y almacenamiento",2018,43.36642599
Sector," Bachelors, financial and corporate services",2018,40.09131767
Sector, Social services,2018,31.8234358
Sector, various services,2018,31.14263711
Sector, Government,2018,37.71708952
Sector,Agriculture,2019,31.94437257
Sector, Extractive and electricity industry,2019,39.87872106
Sector, Manufacturing industry,2019,39.313984
Sector,Construction,2019,42.36505974
Sector,Commerce,2019,39.40866576
Sector, Restaurants and accommodation services,2019,37.66142432
Sector,"Transportes, comunicaciones, correo y almacenamiento",2019,42.78344227
Sector," Bachelors, financial and corporate services",2019,39.68114594
Sector, Social services,2019,31.56512948
Sector, various services,2019,30.65243462
Sector, Government,2019,38.12293038
Sector,Agriculture,2020,32.59924207
Sector, Extractive and electricity industry,2020,38.28296703
Sector, Manufacturing industry,2020,38.57637966
Sector,Construction,2020,40.68140521
Sector,Commerce,2020,39.37383198
Sector, Restaurants and accommodation services,2020,36.22818052
Sector,"Transportes, comunicaciones, correo y almacenamiento",2020,41.37701295
Sector," Bachelors, financial and corporate services",2020,38.67625623
Sector, Social services,2020,29.93157197
Sector, various services,2020,29.60022312
Sector, Government,2020,34.71470346
Sector,Agriculture,2021,31.99895329
Sector, Extractive and electricity industry,2021,40.15258621
Sector, Manufacturing industry,2021,39.17730386
Sector,Construction,2021,40.73833267
Sector,Commerce,2021,39.98705117
Sector, Restaurants and accommodation services,2021,37.28352077
Sector,"Transportes, comunicaciones, correo y almacenamiento",2021,42.30445753
Sector," Bachelors, financial and corporate services",2021,39.24190193
Sector, Social services,2021,31.05894176
Sector, various services,2021,30.17791842
Sector, Government,2021,36.94089584
Sector,Agriculture,2022,32.71493698
Sector, Extractive and electricity industry,2022,41.75136116
Sector, Manufacturing industry,2022,39.14733342
Sector,Construction,2022,42.20330969
Sector,Commerce,2022,40.49627474
Sector, Restaurants and accommodation services,2022,38.30568201
Sector,"Transportes, comunicaciones, correo y almacenamiento",2022,42.64885496
Sector," Bachelors, financial and corporate services",2022,39.26899268
Sector, Social services,2022,31.53810602
Sector, various services,2022,30.4734456
Sector, Government,2022,37.46645887
